代码,中文名,简介,持仓数量,成本价,收盘价,持仓市值,持仓占比,昨日收盘价,单日盈亏,总盈亏,,
NVDA,英伟达,GPU生产商,150,170.03,177.6900,26653.5,12%,176.9700,108.00 ,1149,,
GOOGL,谷歌,,100,235.59,245.7900,24579,11%,247.1400,-135.00 ,1020,,
TSLA,特斯拉,,50,349.07,423.3900,21169.5,9%,442.7900,-970.00 ,3716,,
BE,BE,做供电发电的，燃料电池,210,67.37,68.6900,14424.9,6%,69.1800,-102.90 ,277.83,,
AVGO,博通,做定制GPU，定制芯片的,30,348.69,336.1000,10083,4%,339.3100,-96.30 ,-377.7,,
BABA,阿里巴巴,,130,144.54,175.4700,22811.1,10%,176.4400,-126.10 ,4020.9,,
VRT,维谛技术,冷却GPU的,100,137.02,139.7700,13977,6%,141.6200,-185.00 ,275,,
YINN,三倍做多中国,YINN做多,200,53.52,52.5600,10512,5%,52.1900,74.00 ,-192,,
PLTR,Palantir,通过数据帮助政府、商业的,100,172.58,179.1200,17912,8%,179.5600,-44.00 ,654,,
PAAS,泛美白银,,200,34.66,36.8000,7360,3%,36.3900,82.00 ,428,,
TSM,台积电,给别人把芯片做出来的,1,259.83,276.6600,276.66,0%,280.7100,-4.05 ,2014,,
META,META,,20,785.61,748.9100,14978.2,7%,760.6600,-235.00 ,-734,,
TMF,三倍做多美国长债,,300,39.69,39.7600,11928,5%,39.7500,3.00 ,22.5,,
ORCL,甲骨文,做数据中心的,100,290.00,291.3300,29133,13%,308.4600,"-1,713.00 ",133,,
,,,,,,,,当日盈亏,"-1,631.35 ",,,
,,,,,,,,,,,,
总金额,230000,,,,,,,,,,,
仓位,80%,,,,,,,,,,,
总盈亏,12251.03,,,,,,,,,,,
总盈亏（%）,5%,,,,,,,,,,,
,,,,,,,,,,,,
持仓占比,,,,,,,,,,,,
AI相关,53%,,,,,,,,,,,
硬件,28%,,,,,,,,,,,
软件,25%,,,,,,,,,,,
宏观对冲,3%,,,,,,,,,,,
Long中国,14%,,,,,,,,,,,
TSLA,9%,,,,,,,,,,,
,,,,,,,,,,,,
今日日期,2025/9/25,,,,,,,,,,,
昨天日期,2025/9/24,,,,,,,,,,,
